image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0721,147.955895 141.846938,148.204189 160.863486,150.233029 177.854307,150.396663 195.588327,157.934054 212.447162,167.897919 225.366958,182.795621 235.421199,204.177985 243.773007,217.202729 245.243686,230.234761 244.198616,243.020463 237.346632,255.328083 228.591074,265.672368 214.133553,270.434211 197.250658,274.330263 179.069079,276.061842 160.021711,276.061842 142.273026,161.65284 136.181953,172.43846 130.374838,186.004324 127.813981,198.563575 131.779337,208.969203 137.993156,220.922413 138.533035,232.745323 132.022516,243.381438 129.10483,256.568334 128.449378,265.797256 134.271055,214.965317 145.950901,215.230652 158.33816,215.3375 171.807788,215.639432 185.386684,202.608225 185.974476,208.232967 188.930223,216.551361 190.5562,221.996881 189.256228,227.794114 186.364553,174.68088 143.472489,182.008463 140.001045,189.045303 140.068033,196.2255 146.541703,187.844329 148.973651,181.903072 148.887202,233.127808 146.514158,239.320326 140.34363,245.910085 140.093649,253.496671 143.434556,247.161248 148.559883,240.947009 149.213711,195.755902 212.486493,203.176275 205.449702,210.985958 203.395028,216.819991 204.693278,222.882073 203.555104,230.358835 206.981393,236.747204 211.653697,230.713706 216.515014,224.47534 218.934532,218.430269 219.143216,211.50409 218.805039,204.116013 216.070864,198.342665 212.166656,211.113057 210.089963,217.203718 210.670052,223.332619 210.388447,234.114376 211.288644,223.332619 210.388447,217.203718 210.670052,211.113057 210.089963
image_0722,247.559211 189.164474,249.730263 200.888158,253.203947 213.046053,258.396975 223.467105,263.779435 232.946894,268.835526 244.752171,278.412792 256.157435,291.439546 268.061217,304.235177 268.399733,315.592421 266.329505,329.881574 256.994286,344.960533 246.993691,361.087323 236.440766,365.77289 221.707406,368.000758 206.202306,367.376077 191.000297,365.661988 173.158118,245.396908 166.585526,252.335526 161.809211,260.316577 160.841829,267.967105 163.111842,275.258343 167.707474,295.756579 163.111842,306.611842 157.032895,319.203947 153.559211,330.927632 155.296053,340.046053 157.901316,288.194779 180.286278,287.725767 191.565969,287.342598 203.181328,287.077027 214.585833,282.965607 218.427465,286.873501 220.335193,290.716939 221.268072,296.611009 218.690789,302.061427 216.264607,257.111842 183.26621,263.840231 178.645235,272.001952 177.80585,278.607385 183.845624,271.708128 186.419855,264.312737 186.468869,307.464378 179.507052,315.296053 172.230263,323.980263 171.361842,331.361842 174.491657,325.717105 180.046053,316.598684 180.914474,281.352004 241.966387,278.433617 238.995292,288.945612 231.583681,292.811 233.059888,297.952658 231.087905,311.656927 234.384636,320.235553 236.755698,313.696071 244.760995,302.322235 249.647923,296.225789 250.361909,290.980263 250.370659,282.042526 247.92858,283.971735 241.406843,290.202184 239.352211,293.620526 239.180277,299.201169 238.90925,316.761869 237.877645,299.201169 238.90925,293.620526 239.180277,290.202184 239.352211
image_0723,83.270001 117.569395,82.339177 132.440314,83.342917 147.058925,86.959739 160.718643,94.137246 174.316734,105.84562 187.337292,120.923998 200.626939,134.887237 211.109392,150.323832 210.770819,162.21424 208.224212,169.356504 198.938873,174.387414 186.077838,178.552957 171.278598,181.893759 157.258942,185.998417 143.733768,190.590911 132.558079,191.106815 121.735681,112.673328 114.688253,121.306946 110.572843,131.286058 109.770415,141.228945 111.718573,150.521622 115.236477,170.863922 113.794233,176.814781 109.758126,183.02265 107.023915,189.196918 106.210694,193.64879 108.465558,160.482714 126.125563,164.101314 136.57304,167.157384 148.18043,170.331217 159.995279,148.624795 161.245836,154.097775 163.298165,158.937086 165.277578,167.740714 166.595254,173.505051 161.542992,125.736398 125.366247,131.809327 122.176657,140.212294 121.825945,144.203599 127.290555,138.681313 131.263444,132.526462 130.114196,168.173203 126.217484,173.252885 119.819151,179.287072 119.847476,182.979599 123.586612,180.882164 128.173578,175.119627 128.427585,137.147684 179.993619,144.127941 176.620658,152.377355 175.496166,157.327318 176.646923,161.415946 174.486435,166.108508 174.21711,166.771763 176.543473,165.056188 182.045435,160.679974 189.306211,155.737602 190.10498,150.002202 190.26117,142.114516 190.342716,140.956496 180.230342,151.954731 178.618612,157.19824 179.224212,161.066679 178.447484,164.209437 177.195801,161.066679 178.447484,156.777975 182.155977,150.95666 183.974023
image_0724,157.812603 220.426867,158.442923 235.53963,165.897736 250.334617,175.368604 262.774862,184.198695 274.902561,194.732295 288.947363,206.339086 301.616885,219.809954 313.725744,236.946656 316.388519,254.894958 307.952863,271.884975 293.953708,289.659797 278.627353,303.605644 262.123628,311.268821 246.172184,310.846866 221.687506,308.070167 197.635243,304.449556 176.140857,146.482542 192.832064,151.962156 185.246482,161.009199 180.716271,172.284588 182.86117,181.541864 186.903736,204.520938 181.272299,216.867458 170.519878,231.870809 163.705841,249.293426 164.122383,266.373406 166.472083,197.921123 202.208802,199.600473 216.169011,200.332149 229.2312,201.421333 242.865253,199.316686 251.715124,203.572845 252.882038,209.746105 253.845818,215.38277 250.433571,221.446619 246.708778,162.856818 209.030084,167.803556 201.363404,177.811348 199.496932,187.834396 206.943241,179.949374 213.35762,170.671836 213.986858,223.709485 197.905965,229.974491 184.701274,240.374684 182.490517,249.607361 186.376393,246.193266 192.219698,239.405746 197.031018,197.241772 279.321974,203.533861 270.101941,209.199052 264.790917,213.23639 264.697192,217.806581 262.598676,233.665062 267.174682,248.862869 270.916996,238.717692 283.42127,228.809627 291.252249,223.188288 293.092826,217.756718 293.723423,208.662828 288.750433,205.057533 279.070224,212.271584 273.346403,217.076118 273.174586,222.059432 272.512704,238.866317 272.451063,224.584121 279.199565,219.531188 281.448993,214.577972 280.811826
image_0725,72.378604 144.417857,70.556948 156.217486,72.424665 167.589392,77.319335 182.935819,83.042029 196.177638,89.378887 208.165903,93.705454 220.342803,98.811788 227.625035,110.18589 230.037824,124.4674 228.784271,141.681544 224.055207,157.14532 217.741379,171.332512 209.465517,182.446691 195.846428,187.506965 179.223416,188.900897 161.820636,189.84627 145.082473,66.063434 124.816284,70.945541 120.253044,77.373261 119.496488,83.934919 122.690259,90.668588 126.304453,110.514904 127.180682,121.87056 123.789615,135.398125 122.924697,146.534737 124.644658,155.80423 128.119572,101.579162 141.419567,99.060673 153.246951,95.919782 164.763168,93.233658 175.054718,90.911289 179.387485,94.935977 182.288155,98.833028 184.249592,102.797976 183.139808,106.945076 181.990446,77.178955 138.766449,79.641332 133.378861,87.686769 133.937331,96.386825 142.588793,87.030416 145.986948,79.347286 143.363495,120.002114 144.836337,126.358389 136.423664,135.036485 137.349094,143.094507 142.563899,136.061817 147.93158,127.895904 148.513719,88.11546 196.490999,91.638147 194.406667,94.787825 193.453261,99.175444 195.106835,102.356525 193.617063,111.765477 196.820674,124.20688 200.543185,113.581952 207.957497,104.548434 209.292991,99.893696 208.948376,94.987204 206.38272,92.24292 200.919859,91.483496 196.957406,95.505274 199.405785,99.662247 200.73521,103.23327 200.864522,120.695074 200.70879,103.23327 200.864522,99.662247 200.73521,95.505274 199.405785
image_0726,269.030461 176.365322,272.283982 200.998239,279.48803 219.706606,292.153612 238.87923,311.208622 262.349644,333.517152 291.745849,354.895929 316.261772,374.53343 328.812839,395.333434 325.329048,420.316714 315.569725,447.274637 299.999125,471.625486 278.702826,496.890215 252.59094,512.808078 221.448501,511.647434 180.548598,508.279398 145.223503,505.026497 109.43539,247.765579 129.071652,253.227113 111.526408,267.867958 104.205986,282.508803 103.392606,300.169801 110.596034,338.632042 96.885563,356.2949 72.832038,380.579934 57.02931,413.810911 55.286795,441.350086 67.138376,329.247903 135.844087,330.136423 157.568319,330.730988 176.82896,329.569725 200.067865,334.506 222.501784,340.173489 223.183435,346.486297 223.296722,355.356712 217.402058,365.019511 211.531877,275.885386 161.142606,283.322183 145.68838,300.635298 140.808099,317.484155 149.755282,302.959684 159.283097,287.389704 164.74401,371.737762 129.980291,380.812062 111.874911,398.009423 105.019366,420.202199 110.945157,408.000875 121.51972,389.409503 129.188026,335.262147 269.903435,333.329391 255.795842,341.268391 248.61934,353.131822 248.038728,360.154958 243.669209,390.7194 244.221649,414.018425 247.308225,399.170686 263.628521,377.327652 276.75774,367.913732 280.476758,358.151309 283.149028,344.557213 280.359764,340.838815 269.322183,349.438734 263.977024,359.664175 262.930895,367.567709 258.863994,408.26108 249.459675,367.567709 258.863994,359.664175 262.930895,349.438734 263.977024
image_0727,159.406796 129.453398,156.925243 142.550485,157.806796 155.329126,163.773786 171.307767,169.1 184.845631,174.948544 198.742718,182.156311 211.639806,189.053398 222.61068,206.354369 224.851456,229.65534 220.606796,247.556311 213.280583,264.934951 204.987379,275.950485 191.971845,284.839806 175.31165,289.966019 154.969903,291.406796 135.983495,290.766019 117.360194,155.480583 97.659223,159.525243 92.292233,164.757524 88.745402,174.226214 88.166019,182.956311 92.08835,206.35931 92.807348,218.239806 84.039806,232.859223 81.558252,247.874757 84.680583,260.127184 89.847573,195.014176 111.683833,192.975235 122.024128,191.394156 132.369388,189.831571 142.656139,187.872211 158.590985,190.494172 159.654376,194.471197 160.385838,199.298058 158.129126,205.305825 156.247573,165.13301 120.200971,169.059223 108.593204,176.352358 106.662859,186.649588 116.918047,178.348544 118.923301,170.659223 120.804854,219.288052 114.179457,227.451456 102.585437,236.063107 100.863107,245.671552 109.624848,237.958378 113.397469,229.618611 114.866733,179.588083 187.521403,181.732866 176.187575,188.3568 171.51306,193.173496 172.08696,198.382942 170.588029,210.427669 175.383777,223.566019 184.600971,212.307249 191.58418,202.993383 193.707379,197.359526 193.745901,191.150811 193.90212,184.838476 191.036807,182.756311 186.385921,189.404854 182.560194,194.280362 182.235966,199.946602 181.641748,219.002913 184.800971,199.946602 181.641748,194.280362 182.235966,189.404854 182.560194
image_0728,61.19528 196.321245,63.879872 211.055661,71.427795 226.608374,81.3867 240.114077,93.800493 254.074105,104.030469 270.352217,120.218223 285.357705,135.858753 302.451574,151.592181 303.045247,166.509852 300.634266,186.334762 284.766572,205.429193 266.76151,219.296325 246.846243,229.386954 226.017241,228.800901 201.099298,227.80189 176.818936,226.258195 152.716749,47.96573 168.721249,56.693379 159.673539,66.832997 158.217661,76.882258 160.034968,87.705908 162.719561,112.900004 155.853129,129.178116 143.121815,148.414432 137.254394,169.553334 134.391626,188.195978 137.664812,106.207702 178.686559,108.700348 194.854052,110.213386 209.852432,111.210653 227.262759,108.963527 238.707827,115.482041 241.565579,122.212151 242.341716,129.052068 236.730094,135.887632 231.528894,67.60304 185.908274,69.586268 178.14249,79.83351 175.085189,94.361713 183.223874,84.231484 187.792329,74.413848 189.017812,136.632083 173.114331,141.958418 160.081417,152.872424 155.946026,169.736589 161.627653,160.823949 170.067546,149.213506 174.263401,111.242453 266.998413,112.299809 261.040655,119.031646 256.261215,124.446346 258.008313,131.388991 254.066063,151.149297 256.53457,167.780739 256.887756,156.189519 269.257768,142.325475 276.5236,133.266579 277.544423,125.825316 278.252008,116.275124 271.264372,115.06553 266.800211,122.022851 265.762114,128.527417 265.317143,135.638278 264.266439,164.928643 258.208564,135.638278 264.266439,128.527417 265.317143,122.022851 265.762114
image_0729,164.710775 182.526806,165.66495 199.209351,170.233881 211.864592,175.79816 224.179335,180.47558 238.778543,188.123196 254.042896,200.097441 267.878763,218.925082 283.003746,232.998515 283.354536,248.299305 280.951289,270.437639 267.497092,291.874392 249.473965,305.50913 229.259012,314.796653 208.229252,320.381519 186.343512,321.17574 165.685129,320.974611 144.59361,160.986278 156.466153,170.139419 144.485728,182.48319 138.106179,197.607498 140.899526,209.115558 146.407329,230.732141 143.258597,246.533358 135.286185,261.926221 131.751017,280.516856 134.82448,295.863254 142.092865,220.918965 163.149378,221.239355 177.88359,220.674493 191.483236,220.250667 206.069682,213.747644 214.39079,218.565873 216.299464,223.388714 218.502308,230.174015 215.657387,236.779902 213.227904,180.660602 168.938548,186.406039 162.909985,196.861948 161.547736,206.133342 168.052316,196.248633 170.386662,187.194145 170.536438,247.404365 163.516388,255.871804 155.176802,264.790705 154.003329,275.293052 159.861001,267.745403 164.393491,258.543542 164.878646,201.175136 243.729144,210.123028 236.897694,218.161121 231.738385,223.876726 234.417191,230.152609 231.630606,241.521294 235.382449,259.522815 239.986158,245.153302 249.365476,232.121949 255.141177,225.876674 255.925104,219.15709 255.734269,209.538188 251.390485,204.475536 244.151987,219.025101 242.601317,225.030987 242.460614,231.09572 242.374156,256.029155 240.86817,231.09572 242.374156,225.030987 242.460614,219.025101 242.601317
image_0730,135.28163 218.984311,135.216563 244.433207,138.597296 269.906487,140.573801 294.237458,143.799171 318.62263,155.407974 339.755332,169.199695 355.262944,183.800355 372.236224,208.815154 377.079473,235.698058 378.328339,260.550254 369.396579,286.772477 357.634762,306.895783 340.727584,322.879182 319.879206,331.438214 289.430561,335.396923 261.591939,337.881789 235.306033,146.800374 187.708441,159.851187 180.003149,177.583129 175.45567,195.409159 181.835498,207.94657 191.830556,244.542984 195.11994,261.826221 187.819212,280.406991 186.597447,299.078179 193.045747,313.516758 202.574828,225.227646 215.085761,221.594814 233.406479,217.556697 252.199198,213.5373 270.973783,201.563114 282.908014,207.3839 285.411098,212.870334 288.271896,222.642605 286.406059,230.246491 285.158804,164.825663 211.594664,176.413087 205.79973,190.608693 208.689887,199.907964 220.811166,183.552429 224.487012,173.067359 222.087963,254.225801 225.818431,266.562767 214.573093,280.792715 215.456855,295.735291 226.365119,282.022093 233.440154,270.138296 233.102944,176.252962 315.603673,192.978626 311.041903,203.571872 307.941354,209.37477 310.775951,216.509947 309.530141,233.577534 316.778269,251.077005 326.58504,231.575277 335.39727,216.132276 336.293816,208.254566 335.701161,200.677969 334.328721,191.748953 330.333599,187.43806 320.60394,202.96959 320.744737,208.679653 321.62194,215.147104 322.088967,244.339702 327.86867,215.147104 322.088967,208.679653 321.62194,202.96959 320.744737
image_0731,257.322656 137.212387,258.055001 152.26843,259.734934 166.80624,263.007863 180.891501,268.235887 194.520055,276.691969 207.998755,287.683149 220.353627,299.709724 229.396721,318.294879 231.913406,333.866225 230.41168,346.993383 221.106157,357.215478 210.133199,366.153337 195.815017,370.768003 178.162386,371.953324 162.663207,371.744323 148.618626,372.619767 136.28818,265.477794 128.725488,272.288443 121.116575,284.172582 118.836675,295.67088 121.505215,306.024929 124.796836,323.625994 122.550949,333.969286 118.331661,343.659149 117.025112,354.57887 119.044789,361.224809 124.907126,312.794659 135.088481,313.41168 147.055524,313.888089 159.266111,314.706271 170.653337,303.185517 174.066168,308.92011 176.079544,315.182681 178.389816,322.240794 175.489931,327.931818 171.569908,277.954048 136.707412,283.454052 132.316537,291.118943 131.553941,298.442158 136.440171,291.651485 138.801935,284.50309 139.36421,329.66639 133.986375,335.590671 129.48258,343.763177 130.918237,350.0077 134.520562,344.161045 137.931603,336.870846 137.022196,291.289701 189.197066,298.965875 186.654911,306.376463 185.452896,313.91071 187.935535,322.24871 185.721648,330.73625 185.03883,340.296475 183.714366,330.566674 194.120138,323.832593 199.026898,314.574881 200.688361,306.243235 199.511655,299.096172 195.29557,295.655063 190.424339,305.882336 191.615362,313.820771 191.340909,322.613636 190.217203,337.140381 186.158078,322.613636 190.217203,313.820771 191.340909,305.882336 191.615362
image_0732,131.350181 119.138893,132.717096 130.422532,135.696418 141.440757,140.367839 152.867064,145.998093 162.949587,152.835879 170.421024,162.507112 178.685495,171.222719 186.11067,180.956928 186.458984,189.93795 185.556711,198.059752 179.760658,207.057488 172.352197,215.461419 162.08716,221.539601 150.14674,223.47719 134.214811,226.785019 119.022817,228.026375 103.82906,136.93999 107.768995,143.882389 102.827944,153.219217 101.736499,162.487381 103.598676,170.28949 107.392989,184.845129 107.841127,192.600455 101.963604,202.374839 98.899324,211.865682 100.527634,220.805273 104.686771,177.978515 117.73345,178.039133 126.793401,177.951874 137.588811,178.432957 147.071078,169.404668 147.140405,174.01632 149.608822,178.608049 151.30092,183.342446 149.75149,187.565938 147.893592,149.375221 118.310928,155.516185 114.864482,161.627926 114.801908,167.138687 119.553391,161.38248 122.001886,155.792071 121.859218,191.155781 118.574636,197.033564 112.633186,202.711193 111.86118,208.014975 114.301459,203.968927 119.410723,198.275696 119.981397,161.87667 160.97536,168.66548 158.94989,174.894471 157.73262,178.942894 158.987236,183.446221 157.605824,192.091077 158.863891,199.37447 160.4497,192.362999 168.746359,184.735162 171.666753,179.468063 171.68111,175.026989 171.269459,168.637747 167.901761,165.640939 163.074999,174.849199 163.025486,179.121664 163.367881,183.813505 163.075541,197.1882 161.7824,183.813505 163.075541,179.121664 163.367881,174.849199 163.025486
image_0733,88.366808 72.710941,87.358571 86.560896,86.86512 99.391426,86.358891 111.896339,87.238906 127.110735,90.586831 139.175784,98.506254 148.46452,112.019655 154.937489,128.445743 158.392181,143.637457 159.614825,160.273807 157.87608,176.524584 153.218134,184.942358 145.58281,191.265129 134.349428,194.594527 119.682913,200.492651 103.825275,204.158089 87.682796,95.026447 56.972022,102.218198 47.126291,112.034849 41.23518,125.245052 40.425986,136.142497 46.409499,157.170145 48.62425,169.674766 45.589095,181.538181 47.733865,191.615221 55.237759,198.211914 64.875213,142.44012 63.140402,141.178483 68.764953,139.95744 74.627119,138.745562 80.973166,129.002604 93.221951,133.194138 94.291534,136.804391 95.090893,141.392402 95.181918,145.214328 95.453518,106.345357 68.610343,111.329268 62.811633,119.272749 62.181637,128.348844 67.862497,120.613931 69.142331,112.676056 70.662712,160.503561 72.220003,166.657501 66.644801,175.409011 68.910584,182.005869 74.615834,175.600178 75.324872,167.614772 74.017935,112.94205 122.590715,119.565366 107.578517,129.007503 103.360543,133.320812 104.762728,139.621403 104.609324,151.351764 113.961533,155.046088 123.332364,148.83132 126.870047,137.764464 126.181826,130.790082 125.840217,125.32992 124.855724,118.58223 123.987574,116.2432 119.995146,126.982064 112.87677,132.822119 113.12264,138.592845 114.489234,148.811345 120.19672,137.803158 118.253184,132.106621 117.914762,126.452331 117.308559
image_0734,119.478065 136.198875,121.944067 150.078786,125.691026 165.820097,131.07408 182.776492,137.90944 198.805403,154.254287 213.400426,171.645991 223.838364,192.757039 233.049274,205.503882 232.619299,217.423594 226.93357,226.986156 209.319415,235.554087 193.555648,241.850951 178.499534,246.395314 164.858872,248.872858 151.556589,248.295922 138.504896,246.201768 126.810138,148.975802 121.110865,159.681098 116.922558,170.857788 115.174598,181.821875 116.335042,191.19539 119.721571,213.341698 118.852712,221.534676 113.457912,229.626836 110.637755,238.009329 109.780891,245.584389 113.253716,203.581781 130.449527,206.163918 140.015862,209.850293 150.242866,213.699176 160.728036,196.118618 169.347193,202.381885 170.601213,207.425951 171.920862,213.655965 170.438704,217.50485 167.541238,162.892625 133.050199,169.571663 129.612845,177.408914 129.752471,184.170567 134.958291,176.834349 136.801999,170.24203 136.765755,217.598754 132.171984,223.678381 126.246117,230.241629 125.252135,235.002178 128.376865,231.454379 132.725333,224.341794 133.928081,172.571038 183.194942,184.476734 179.702169,199.99344 177.855483,208.049997 178.151623,214.28406 176.820981,221.458866 178.046756,225.974049 179.48435,222.178627 194.556851,215.387575 203.419161,207.734638 205.469723,199.784256 204.863438,183.993161 194.735574,175.439697 183.888193,199.96063 184.361753,207.967649 184.182831,214.284905 182.354865,223.599459 180.961003,214.508638 193.424741,207.653608 196.452915,200.067561 195.580321
image_0735,131.401584 99.796903,133.937461 118.281668,137.284504 135.577121,139.066848 153.60767,144.550013 170.20941,154.248914 183.941234,167.086721 195.67224,183.920191 204.03559,203.196781 206.797723,221.53321 203.903398,236.825414 193.392832,251.494423 180.10245,261.154929 164.069003,265.790666 144.826124,267.027081 126.014139,268.382302 109.6941,270.78442 91.247219,135.025193 90.363795,142.398047 79.117847,154.46111 73.055627,168.733078 73.601214,182.750022 78.123342,199.297825 77.577975,214.330001 70.982619,229.155622 68.316315,243.94171 71.547174,256.460228 80.098237,192.410615 91.38566,193.0469 101.767427,193.448667 111.336428,193.494903 122.224645,184.097731 134.575636,189.829629 135.985206,195.280223 138.163295,200.514777 136.090055,204.884823 134.177901,152.746167 94.079864,160.477153 90.191714,169.90288 89.645235,177.29718 95.376577,168.956163 98.275085,160.335717 99.19518,213.044039 92.935885,220.200758 85.252212,229.246561 84.684571,236.974942 88.161536,230.829948 94.07549,222.972072 95.066823,172.764843 160.275618,185.044442 158.380476,192.72235 156.011042,197.819605 157.234369,203.936504 155.069866,213.762285 157.273317,223.997722 158.327068,213.821858 164.365222,204.855276 165.480139,197.561456 166.104433,192.524368 166.059502,184.995078 165.006596,176.376784 161.150917,192.518674 160.025252,197.776273 160.888467,204.316173 159.516092,220.654815 158.913798,204.316173 159.516092,197.776273 160.888467,192.518674 160.025252
image_0736,134.283237 323.736994,136.132948 351.482659,139.149676 381.722084,146.306358 415.239721,160.077432 440.128383,182.530935 455.610363,206.20884 468.925437,228.089432 476.654898,257.289017 476.33815,285.959538 467.089595,305.100697 452.272586,323.051387 432.885135,335.944522 409.712702,340.135523 384.429742,342.879369 357.975969,346.961355 333.852438,346.980678 314.512909,156.233313 306.178562,169.581207 295.093121,188.197693 289.557337,208.175385 291.48453,224.649222 297.58177,270.727386 292.186782,288.411225 284.641265,305.108035 280.652971,321.672043 281.590669,334.890127 292.48288,249.704779 315.463304,252.122449 331.79921,254.635531 349.250383,257.269695 367.486008,237.185977 379.926847,244.069482 382.439107,254.342299 385.970217,263.093953 381.622971,270.803801 376.640217,178.676301 318.730152,190.6801 309.341194,207.308176 309.20079,218.91736 319.813186,205.273073 323.968716,190.418616 324.904012,274.589082 314.585966,281.252824 304.416787,295.004575 300.736687,313.061153 309.985242,303.449407 315.086215,290.016235 317.055466,213.66801 417.117165,229.110945 406.772869,245.993501 400.726401,255.770292 404.030336,264.582042 399.687639,278.103829 402.28247,289.257072 408.683296,279.746793 421.352693,268.630351 428.9037,258.194448 431.518193,247.095679 432.241151,228.825945 427.125034,221.774011 418.360664,246.999991 414.709748,256.511236 414.024734,266.477046 412.903737,285.834662 410.197025,266.477046 412.903737,256.511236 414.024734,246.999991 414.709748
image_0737,167.570626 255.127253,165.992515 278.520242,169.085677 300.003163,179.89907 323.9571,188.994963 344.172564,202.443533 365.062586,215.815773 387.063848,227.206944 396.104715,248.304654 397.279867,274.124277 392.231327,299.714908 382.210578,329.288979 364.561993,350.539351 342.365462,359.505034 315.818232,365.164134 285.326488,366.626773 258.75309,367.801066 232.081568,162.870018 225.91,171.379243 215.969882,184.280479 209.309352,200.885278 212.972318,216.773429 220.279108,253.777457 218.303468,269.5 208.130058,288.921965 203.50578,309.268786 207.205202,325.916185 218.303468,232.944233 245.271853,230.788386 263.081317,228.390427 279.821171,225.529542 296.706533,218.764306 308.744036,224.313438 311.671264,230.80873 313.194348,240.90581 309.766527,249.925374 307.74285,183.363917 244.838994,192.163145 238.225881,204.864282 237.783606,216.269645 246.468604,204.756421 251.357883,191.059863 250.703759,265.507705 247.628302,274.660895 237.983408,287.252249 235.377948,302.902668 242.949083,293.523851 250.523202,279.32225 250.727947,208.083771 339.745609,214.500661 332.857303,225.612899 328.886285,230.878061 331.466023,237.835387 329.631935,256.622627 334.870492,280.013363 338.352564,259.866873 354.016264,242.022657 358.563503,233.594321 358.694769,225.904052 357.539299,215.914743 349.79924,214.988552 343.061325,225.68386 341.635876,233.277975 341.406884,240.163808 341.809842,274.92893 340.324292,240.163808 341.809842,233.277975 341.406884,225.68386 341.635876
image_0738,121.778885 103.413033,122.399819 118.485922,126.53268 132.625428,128.706217 148.279966,131.921442 163.372131,137.160798 174.725077,149.725804 185.05681,162.197988 191.835391,180.536413 193.862774,198.517596 193.189546,214.494055 186.980223,227.40524 178.546648,236.90114 165.995914,243.775448 150.662901,245.765771 133.722648,247.115125 116.801217,247.76962 102.025243,133.290293 85.019423,140.148885 77.980606,150.005235 77.401879,158.400757 77.980606,165.174253 80.798139,191.157823 80.380611,200.795897 74.641422,209.03022 71.321264,218.706344 71.321264,226.36194 76.899254,178.622874 94.900418,178.676088 104.451861,178.574758 112.555537,178.132085 121.687961,168.389362 134.152787,172.953188 134.711362,178.248981 135.086834,183.220802 134.539686,188.701016 133.11541,144.057039 100.436057,150.111111 96.311974,158.436453 96.232288,164.931285 100.932234,157.51512 103.70373,150.009578 104.3036,196.726753 100.587791,202.842698 95.71604,210.228551 95.128991,217.432408 98.445532,212.320829 102.373722,204.954252 102.678779,158.706215 158.105492,165.689678 149.392603,173.081125 144.518176,178.296867 145.72767,183.906616 144.128483,194.764102 148.274452,203.999505 158.909577,196.339444 166.140071,187.191905 168.298157,180.348135 168.293888,174.547983 167.86846,167.028872 165.779385,165.011336 157.507069,173.549193 151.067562,178.832369 151.303787,184.727773 151.181851,197.710172 157.677737,185.172693 157.923452,179.802931 158.724159,174.234229 158.219596
image_0739,113.189659 175.784514,113.737665 194.972438,116.435168 214.074753,123.402432 232.723642,132.732595 248.606328,144.059709 262.789876,158.240968 276.364861,176.121657 288.934749,191.34567 291.918038,208.455908 288.419887,224.900609 275.86761,238.255094 263.090602,249.938131 247.787437,259.009137 229.792338,263.765008 209.158724,265.391495 189.216507,265.318039 170.580143,123.871936 162.471132,133.548172 158.487756,145.391217 157.447836,156.355398 159.330465,168.696005 163.881259,209.733064 163.703432,220.600793 160.400327,230.313063 156.776589,239.904194 155.036687,248.234705 157.143871,190.466774 180.916797,190.609175 194.4185,190.946285 208.849555,191.326662 223.008891,177.792011 227.797772,183.874858 229.81226,190.413529 230.6553,197.12573 228.535345,203.90151 226.854837,136.713832 174.624776,145.340616 170.950907,156.976682 172.059717,164.872901 179.499961,153.576796 182.36312,144.478983 181.180854,213.84767 179.03669,221.56269 170.309642,231.081399 168.8802,239.758316 170.60695,232.854798 178.001337,223.509808 179.554367,164.73049 250.072443,174.04475 246.529741,184.663193 242.192615,191.822236 243.941456,198.823291 241.685845,207.81532 244.206463,217.386736 248.011361,208.393627 259.88477,200.000321 265.03835,192.100374 266.348785,183.692426 265.657446,174.750405 260.182545,170.239234 251.067217,184.689866 249.127142,192.098133 249.389349,198.856225 248.714948,209.422421 249.178236,198.680222 251.897796,191.992539 252.371965,184.641867 252.676488
